,日期,省,省确诊,省治愈,省死亡,市,确诊,治愈,死亡
0,2020-02-18,重庆市,553,225,5,巫溪县,13,9,0
0,2020-02-18,重庆市,553,225,5,巴南区,6,2,0
0,2020-02-18,重庆市,553,225,5,璧山区,9,6,0
0,2020-02-18,重庆市,553,225,5,永川区,5,2,0
0,2020-02-18,重庆市,553,225,5,高新区,4,1,0
0,2020-02-18,重庆市,553,225,5,大渡口区,7,5,0
0,2020-02-18,重庆市,553,225,5,彭水县,2,0,0
0,2020-02-18,重庆市,553,225,5,江津区,4,3,0
0,2020-02-18,重庆市,553,225,5,涪陵区,3,2,0
0,2020-02-18,重庆市,553,225,5,酉阳县,1,0,0
0,2020-02-18,重庆市,553,225,5,万盛经开区,1,0,0
0,2020-02-18,重庆市,553,225,5,梁平区,4,4,0
0,2020-02-18,重庆市,553,225,5,黔江区,2,2,0
0,2020-02-18,重庆市,553,225,5,城口县,2,2,0
0,2020-02-18,重庆市,553,225,5,武隆区,1,1,0
0,2020-02-18,重庆市,553,225,5,秀山县,1,1,0
0,2020-02-18,山西省,130,53,0,晋中,36,15,0
0,2020-02-18,山西省,130,53,0,太原,19,6,0
0,2020-02-18,山西省,130,53,0,大同,12,5,0
0,2020-02-18,山西省,130,53,0,晋城,9,2,0
0,2020-02-18,山西省,130,53,0,长治,8,1,0
0,2020-02-18,山西省,130,53,0,运城,19,13,0
0,2020-02-18,山西省,130,53,0,朔州,8,2,0
0,2020-02-18,山西省,130,53,0,忻州,7,1,0
0,2020-02-18,山西省,130,53,0,阳泉,4,1,0
0,2020-02-18,山西省,130,53,0,临汾,2,1,0
0,2020-02-18,山西省,130,53,0,吕梁,6,6,0
0,2020-02-17,湖北省,58182,6693,1696,武汉,41152,3507,1309
0,2020-02-17,湖北省,58182,6693,1696,孝感,3279,449,70
0,2020-02-17,湖北省,58182,6693,1696,黄冈,2831,839,78
0,2020-02-17,湖北省,58182,6693,1696,荆州,1501,305,37
0,2020-02-17,湖北省,58182,6693,1696,随州,1267,140,24
0,2020-02-17,湖北省,58182,6693,1696,鄂州,1274,244,35
0,2020-02-17,湖北省,58182,6693,1696,襄阳,1155,151,20
0,2020-02-17,湖北省,58182,6693,1696,黄石,983,207,15
0,2020-02-17,湖北省,58182,6693,1696,荆门,915,132,33
0,2020-02-17,湖北省,58182,6693,1696,宜昌,895,156,24
0,2020-02-17,湖北省,58182,6693,1696,咸宁,861,181,10
0,2020-02-17,湖北省,58182,6693,1696,十堰,612,126,2
0,2020-02-17,湖北省,58182,6693,1696,天门,485,39,10
0,2020-02-17,湖北省,58182,6693,1696,仙桃,531,107,19
0,2020-02-17,湖北省,58182,6693,1696,恩施州,249,82,4
0,2020-02-17,湖北省,58182,6693,1696,潜江,182,18,6
0,2020-02-17,湖北省,58182,6693,1696,神农架林区,10,10,0
0,2020-02-17,广东省,1322,524,4,深圳,415,152,2
0,2020-02-17,广东省,1322,524,4,广州,339,132,0
