,日期,省,省确诊,省治愈,省死亡,市,新增确诊,新增治愈,新增死亡,确诊,治愈,死亡
221,2020-02-18,河南省,1257,514,19,济源,0,0,0,5,0,0
222,2020-02-18,河南省,1257,514,19,三门峡,0,0,0,7,4,0
223,2020-02-18,河南省,1257,514,19,待明确地区,0,0,3,0,0,8
224,2020-02-18,天津市,127,46,3,宝坻区,2,1,0,52,12,2
225,2020-02-18,天津市,127,46,3,河东区,0,0,0,15,7,1
226,2020-02-18,天津市,127,46,3,河北区,0,0,0,12,7,0
227,2020-02-18,天津市,127,46,3,北辰区,0,0,0,6,1,0
228,2020-02-18,天津市,127,46,3,南开区,0,0,0,6,1,0
229,2020-02-18,天津市,127,46,3,宁河区,0,0,0,4,0,0
230,2020-02-18,天津市,127,46,3,外地来津人员,0,0,0,6,3,0
231,2020-02-18,天津市,127,46,3,东丽区,0,0,0,4,1,0
232,2020-02-18,天津市,127,46,3,和平区,0,0,0,6,4,0
233,2020-02-18,天津市,127,46,3,河西区,0,0,0,4,2,0
234,2020-02-18,天津市,127,46,3,滨海新区,0,0,0,3,1,0
235,2020-02-18,天津市,127,46,3,西青区,0,0,0,4,3,0
236,2020-02-18,天津市,127,46,3,武清区,0,0,0,2,1,0
237,2020-02-18,天津市,127,46,3,红桥区,0,0,0,2,2,0
238,2020-02-18,天津市,127,46,3,津南区,0,0,0,1,1,0
239,2020-02-18,北京市,387,122,4,海淀区,0,0,0,60,0,0
240,2020-02-18,北京市,387,122,4,朝阳区,0,0,0,58,0,0
241,2020-02-18,北京市,387,122,4,西城区,1,0,0,47,0,0
242,2020-02-18,北京市,387,122,4,丰台区,1,0,0,40,3,0
243,2020-02-18,北京市,387,122,4,大兴区,0,0,0,39,2,0
244,2020-02-18,北京市,387,122,4,昌平区,4,0,0,29,0,0
245,2020-02-18,北京市,387,122,4,外地来京人员,0,0,0,26,2,0
246,2020-02-18,北京市,387,122,4,通州区,0,0,0,18,1,0
